,Nama Penjual,Nama Produk,Harga,Lokasi penjual,Jumlah terjual,Rating
85,AHR Jaya Snack,KERUPUK PEDAS KRIWIL 500gr / KRUPUK SEBLAK SUPER PEDAS,Rp32.200,Jakarta Timur,14 terjual,5.0
86,toko kue pundi mas,KERUPUK KRUPUK JABLAY SEBLAK PELANGI KILOAN TERLARIS 250 GRAM,Rp18.500,Jakarta Pusat,100+ terjual,4.9
87,Pisang Goreng Madu Bu Nanik,Keripik Kentang Pedas Tridara Snack,Rp16.500,Jakarta Barat,500+ terjual,4.9
88,Snackzone PP,Keripik Seblak Pedas Putih,Rp18.000,Jakarta Pusat,30+ terjual,5.0
89,The Little Snacks,Seblak Merah Pedas / Kerupuk Bawang Oleh Oleh Bandung Odjolali,Rp9.900,Tangerang Selatan,500+ terjual,4.9
90,Snackzone PP,Kerupuk Seblak Pedas Mini,Rp18.000,Jakarta Pusat,30+ terjual,5.0
91,ArfaOnlineShop,MIE BURUNG DARA ISI 30 PCS BASO ACI/BOCI/SEBLAK,Rp26.000,Tangerang,40+ terjual,4.6
92,Kairashop_id,SEBLAK INSTAN | BASO ACI | CUANKIE KUAH INSTAN,Rp5.500,Surabaya,40+ terjual,4.4
93,Toko kue Sumber Mas,KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,Rp16.695,Jakarta Timur,250+ terjual,4.9
94,Kurniarasa Baltos,KERUPUK SEBLAK PUTIH PEDAS 250 gr,Rp18.000,Bandung,250+ terjual,4.9
95,Utama.Snack,Kerupuk Seblak Pedas 200gr - mawar,Rp13.500,Surabaya,750+ terjual,4.9
96,Gerai Snack Official Shop,Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,Rp19.700,Kab. Tangerang,100+ terjual,4.8
97,Makanan Tradisi Id,Kerupuk Seblak Mentah/ Krupuk Seblak Viral/ Kerupuk Mawar 5kg,Rp124.000,Jakarta Pusat,11 terjual,5.0
98,KEDAI SAYUR KU,Kerupuk Rafael/kerupuk seblak viral/kerupuk mawar 1kg,Rp35.000,Tangerang Selatan,30+ terjual,4.9
99,Nion.Nion_Official,"Kerupuk Seblak Pedas 100 Gram, Kerupuk Seblak Daun Jeruk Gurih Renyah - Original Brebes",Rp22.688,Tangerang Selatan,28 terjual,4.3
100,RIKI STORE 97,Sabring kerupuk seblak pedas gurih,Rp3.000,Kab. Bogor,100+ terjual,4.9
101,Eagar Wangsa,100gr Kerupuk Bawang Tersanjung Bintang Bunga Krupuk Mentah seblak,Rp4.500,Jakarta Utara,250+ terjual,4.8
102,Bintang Snack & Camilan,Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr - 250 gr,Rp18.500,Semarang,22 terjual,5.0
103,yohangunawan94,Kerupuk RANTAI 250gr SEBLAK Warna Warni,Rp6.000,Bandung,500+ terjual,5.0
104,AHR Jaya Snack,KERUPUK KRIWIL PEDAS 1kg / KRUPUK SEMBRING SEBLAK KERITING,Rp67.848,Jakarta Timur,14 terjual,4.3
105,KedaiMart Official Store,Kerupuk Seblak Merah 1 Kg,Rp25.200,Tangerang,28 terjual,5.0
106,ArfaOnlineShop,baso Aci/boci/seblak CUANKI LIDAH KHAS GARUT MURAH isi 100 pcs,Rp41.999,Tangerang,6 terjual,5.0
107,Frozen Mart Jakarta,TENS Mie Kremes Seblak / Snack Vegan / Cemilan Sehat 65Gr,Rp11.990,Jakarta Utara,26 terjual,5.0
108,Mama Fuji Official,Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),Rp23.999,Tangerang,70+ terjual,4.8
109,Hana snack1,250gr Krupuk seblak mentah murahtersanjung keong makaroni udan,Rp5.100,Surabaya,70+ terjual,4.4
110,kylafood,Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,Rp105.705,Bandung,3rb+ terjual,4.9
111,Snack Zone Official,keripik seblak pedas jeruk,Rp18.000,Jakarta Selatan,90+ terjual,4.9
112,kylafood,Kylafood Mix Batagor Kuah dan Baso Aci Sambal goang,Rp52.440,Bandung,50+ terjual,4.5
113,TOKO SNACK JAKARTA HENDI,KERUPUK / KRUPUK SEBLAK RAFAEL RENYAH / GURIH / CRISPY / KRISPY ,Rp3.300,Jakarta Selatan,1rb+ terjual,4.8
114,aghniya,"seblak ceker 1 kg pedas daun jeruk, gurih,cemilan bikin nagih",Rp35.999,Tangerang Selatan,50+ terjual,5.0
115,Rak Sebelah,Bundle 5pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan Ready,Rp83.500,Jakarta Pusat,1 terjual,4.8
116,baso aci masabi,seblak instan masabi,Rp8.000,Jakarta Selatan,250+ terjual,4.8
117,28 Store Jogja,seblak instant,Rp4.788,Kab. Bantul,50+ terjual,4.8
118,kylafood,Kylafood Batagor Kuah,Rp27.075,Bandung,10rb+ terjual,4.9
119,anto frozen food,Seblak,Rp12.000,Tangerang,50+ terjual,4.9
120,ArfaOnlineShop,cuanki/cuankie lidah 150 pcs khas Garut topping boci/baso Aci/seblak,Rp46.999,Tangerang,18 terjual,5.0
121,Fiorenza Snack,Makaroni Tabur & Seblak Makaroni SiKaya-Netto 40 Gram,Rp5.000,Jakarta Timur,100+ terjual,4.7
122,KailaAini_collection,SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,Rp20.000,Kab. Bandung,70+ terjual,5.0
