,Nama Penjual,Nama Produk,Harga,Lokasi penjual,Jumlah terjual,Rating
234,seblak mitoha,seblak krupuk kemplang bawang hot pedas gurih 1kg,Rp14.999,Kab. Bandung,14 terjual,4.3
235,Toko Ikhsan Cempaka,kerupuk seblak kering pedas seblak kemplang Bandung serba 2000,Rp5.500,Bogor,4 terjual,5.0
236,Tiga putri77,seblak kerupuk kering pedas jeruk isi 500 gram seblak kemplang,Rp25.000,Kab. Bandung,100+ terjual,4.9
237,kylafood,"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",Rp64.815,Bandung,500+ terjual,4.9
238,kylafood,Kylafood Mix Batagor Kuah dan Baso Aci Sambal goang,Rp52.440,Bandung,50+ terjual,4.5
239,Muysproduct,seblak instan mie original om brewok,Rp14.000,Kab. Bogor,5 terjual,5.0
240,Indhymarket,SEBLAK INSTAN PEDAS DAN GURIH,Rp4.999,Depok,5 terjual,5.0
241,Warung Snackk,kerupuk seblak pedas/kerupuk jablai 100gram,Rp8.000,Tangerang,15 terjual,5.0
242,kylafood,Kylafood Batagor Kuah Play,Rp27.075,Bandung,1rb+ terjual,4.9
243,food Service Ingredients,Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 100gr,Rp8.000,Jakarta Timur,30+ terjual,5.0
244,Pusat Cuankie & Cemilan Frozen,SIOMAY ISI 100PCS TOPPING BASO ACI / SEBLAK,Rp35.000,Jakarta Timur,18 terjual,4.8
245,Gerai Snack Official Shop,Maicih Basreng,Rp16.900,Kab. Tangerang,10rb+ terjual,4.8
246,Kickball Official,cuanki lidah / seblak / batagor lidah,Rp5.999,Bandung,250+ terjual,4.7
247,Toko_Ikan_ Asin_SAY,Kerupuk Seblak Gioktin / Kerupuk Mawar Viral 250gr (REPACKED),Rp8.000,Kab. Bogor,4 terjual,5.0
248,MASTER PANGAN,kerupuk bawang oren atau kerupuk seblak,Rp7.000,Jakarta Selatan,4 terjual,5.0
249,Super Food Mania,Cuanki Lidah Toping Seblak Baso Aci isi 25,Rp9.000,Jakarta Timur,5 terjual,5.0
250,athar--1,Krupuk Beton/Seblak Krupuk Bantat Bumbu Cikruh 100Gram,Rp11.000,Jakarta Barat,2 terjual,4.9
251,Superindo Indonesia Raya,Kylafood Seblak Rempah Autentik,Rp22.990,Tangerang Selatan,5 terjual,5.0
252,fahirastores,batagor mini kering / cuanki / siomay / seblak / bakso aci,Rp16.000,Kab. Bandung Barat,100+ terjual,4.9
253,CuankiCulametan,Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,Rp32.500,Kab. Garut,70+ terjual,4.7
254,The Little Snacks,Gurilem Sangarrr,Rp13.000,Tangerang Selatan,2rb+ terjual,4.7
255,CuankiCulametan,Cuanki tahu geprek kering isi 100 toping seblak baso aci,Rp37.999,Kab. Garut,22 terjual,5.0
256,Gaming Store01,Seblak Rempah Autentik Kyla Food Khas 115 G,Rp45.000,Tangerang Selatan,90+ terjual,4.8
257,Bara Snack Kediri 1,[ 250gr ] Kerupuk Seblak Jengkol Pedas / Camilan Snack Kiloan Murah,Rp13.500,Kediri,4 terjual,5.0
258,Gerai Snack Official Shop,Baso Aci Mie Nyemek Teh Shanty Original Lengkap Dengan Gurilem 200g,Rp22.900,Kab. Tangerang,100+ terjual,5.0
259,Cemilan chaul,Seblak instant pedas,Rp10.000,Jakarta Selatan,250+ terjual,5.0
260,Lady Moments,Kerupuk Seblak/Kerupuk Jablay/Kerupuk Jablay Seblak 500 Gram,Rp27.000,Tangerang,100+ terjual,5.0
261,Mandumpang Jaya Olshop,Kerupuk Mawar Ukuran Kecil Warna Putih/Kerupuk Seblak Mentah 500 gr,Rp20.000,Jakarta Pusat,5 terjual,5.0
262,Kriuk_Kriuk21,Krupuk Seblak Kriting Pedas,Rp5.500,Jakarta Selatan,60+ terjual,5.0
263,Dilla frozen,seblak instan ksn,Rp12.000,Jakarta Pusat,4 terjual,5.0
264,Baso Aci Athaya,sebring seblak kering bumbu kacang cikruh 1kg,Rp15.000,Kab. Bandung,16 terjual,4.3
265,IntanMutia3,🎗 KERUPUK SEBLAK MENTAH BAHAN SEBLAK MURAH perbungkus 🔅,Rp8.000,Bandung,3 terjual,4.5
266,Hosana Snack,seblak coin 250gram,Rp12.000,Bogor,100+ terjual,4.9
267,donatmieku_sby,"Seblak instan ""donatmieku""",Rp15.000,Surabaya,14 terjual,5.0
268,Sajodo Snack & Food,SEBLAK INSTAN SAJODO SNACK,Rp22.500,Tasikmalaya,100+ terjual,4.8
269,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
270,dnafta snack,seblak kerupuk kering 75 grqm,Rp7.500,Bandung,3 terjual,5.0
271,JAJANAN AJIB,SOACI SEBLAK TULANG RANGU,Rp17.500,Kab. Garut,70+ terjual,5.0
272,Sajodo Snack & Food,"[ Buy 5 Get 5 ] Special Bedug Package (Baso Aci, Seblak, Keju Aroma...",Rp150.000,Tasikmalaya,7 terjual,4.8
273,Ashiaaap.id,Seblakeun Seblak Instant (130 gram) / Seblakna Urang Bandung,Rp9.999,Cimahi,24 terjual,5.0
274,CuankiCulametan,Cuanki tahu atau batagor kering kiloan murah isi 150 seblak baso aci,Rp32.900,Kab. Garut,100+ terjual,4.9
275,Kylafood Jakarta,Seblak Rempah Autentik isi 5 pcs,Rp68.000,Jakarta Selatan,90+ terjual,4.9
276,Eunike Store.id,KERUPUK BAWANG ATAU SEBLAK PEDAS,Rp9.000,Jakarta Timur,3 terjual,5.0
277,laleurlanang,Kerupuk sebring seblak kering kemasan premium mega snack termurah di kelasnya,Rp5.500,Bekasi,100+ terjual,4.7
278,Snack Prima Aurell,KERUPUK SEBLAK KENCUR PEDAS BERAT 250 GRAM,Rp11.500,Jakarta Pusat,16 terjual,3.7
279,Hosana Snack,Krupuk Stik Seblak /pedas 1kg,Rp12.000,Bogor,60+ terjual,4.9
280,RIKI STORE 97,Kerupuk seblak Pedas bumbu berlimpah 100 gram,Rp8.000,Kab. Bogor,5 terjual,5.0
281,Anasis,Seblak kerupuk udang pedas,Rp8.000,Bandung,100+ terjual,5.0
282,Jacqkids,Seblak Bapper,Rp16.000,Bandung,250+ terjual,5.0
283,Lidigeli,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp25.000,Kab. Garut,100+ terjual,4.9
284,Yuliana Frozen,Kerupuk SEBLAK Bawang Bibir Mini/timbangan 1 kg,Rp21.000,Kab. Sidoarjo,100+ terjual,4.8
285,Seblak Mang Muss,SEBLAK INSTAN MANG MUSS - LEVEL 10,Rp13.999,Tasikmalaya,750+ terjual,4.9
286,tantaz_Snack,Kerupuk Seblak 100 gram-Tantaz Snack,Rp8.000,Tangerang Selatan,23 terjual,4.8
287,basreng sultan bandung viral,seblak as beton seblak kerupuk viral pedas daun jeruk,Rp45.000,Kab. Bandung,2 terjual,5.0
288,CuankiCulametan,cuanki tahu pasung isi 50 murah batagor kering toping seblak baso aci,Rp12.500,Kab. Garut,250+ terjual,4.9
289,Seblak Nyemex,Seblak Nyemex MIE Seblak Instant Bandung,Rp16.999,Bandung,22 terjual,5.0
290,Dorame Food,"(Reseller 6.500) Dorame Makaroni Pipa, Makroni Spiral, Basreng, Seblak",Rp7.500,Malang,1rb+ terjual,4.9
291,Foodstocks,Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,Rp16.800,Jakarta Selatan,100+ terjual,5.0
292,Sajodo Snack & Food,"PAKET SANTAI (Basreng Ori 500gram, Basreng Pedas 500gram, Seblak 1",Rp180.000,Tasikmalaya,17 terjual,3.9
293,qiannara_store,Kerupuk seblak/seblak kering pedas gurih berat 150 & 350gram,Rp8.999,Kab. Sidoarjo,1 terjual,5.0
294,seblakumiofficial,kerupuk basreng seblak umi 100 gram,Rp11.000,Bandung,20 terjual,5.0
295,Cemilan Murah BDL,Keripik Seblak Bantat Jumbo 1 KiloGram (FREE PACKING KARDUS),Rp46.500,Bandar Lampung,7 terjual,5.0
296,Seblak putra bandung,seblak kerupuk kering original gurih 100 gram,Rp5.000,Kab. Bandung,30+ terjual,5.0
297,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg UDANG LIDAH,Rp21.750,Kab. Bandung,30+ terjual,4.6
298,gaiagarut,BASRENG MENTAH 25pcs Kemasan Vacuum Bahan Keripik Seblak Viral,Rp19.999,Kab. Garut,2 terjual,5.0
299,kylafood, Kylafood Seblak karuhun,Rp12.825,Bandung,4rb+ terjual,4.8
300,CuankiCulametan,siomay mini kering 1kg / gurilem toping seblak baso aci cuanki,Rp25.500,Kab. Garut,100+ terjual,4.9
301,kylafood,Kylafood Mix Pentol Kuah dan Seblak Original,Rp46.000,Bandung,50+ terjual,4.9
302,lahawelah,25 SIOMAY Cuanki Kering bahan Pelengkap Boci seblak dan cuanki,Rp10.000,Kab. Garut,30+ terjual,4.9
303,CUANKI CULAMETAN,Cuanki sohu mini 500 gram toping seblak baso aci atau cemilan,Rp24.000,Kab. Garut,40+ terjual,4.9
304,CUANKI CULAMETAN,siomay mini kering 250 gram toping seblak baso aci,Rp7.999,Kab. Garut,250+ terjual,4.9
305,kakai_store10,KERUPUK UDANG MENTAH ORANGE (tebal) / KERUPUK SEBLAK MURAH,Rp7.000,Kab. Bantul,40+ terjual,5.0
306,totobeta,BERGARANSI Kerupuk Oren / Kerupuk Seblak Mentah 1 Ball,Rp79.000,Surabaya,1 terjual,5.0
307,Pasar Keripik Bandung,Pasar Keripik Kerupuk Seblak Mawar Pedas size Kiloan,Rp65.000,Bandung,8 terjual,5.0
308,hokinaCemilan,kerupuk seblak pedas daun jeruk 100g,Rp6.000,Cimahi,250+ terjual,4.8
309,Meliza mart,Seblak instan mama fuji,Rp34.500,Jakarta Barat,13 terjual,5.0
310,Simshop_,SEBLAK KERING CIKRUH BUMBU KACANG VARIAN BASRENG 250 GRAM,Rp18.899,Cimahi,6 terjual,5.0
311,Nazia Market,Kerupuk seblak kencur pedas kering 250gr,Rp15.500,Semarang,4 terjual,5.0
312,RIKI STORE 97,Kerupuk seblak termurah 1 kilo pedas gurih,Rp45.000,Kab. Bogor,5 terjual,5.0
313,Gerai Snack Official Shop,Soun Seblak Geprek SAMI RAOS Khas Garut,Rp19.700,Kab. Tangerang,80+ terjual,4.8
314,alfazzakaromahshops,kerupuk ikan mentah 1kg / kerupuk bawang mentah lezat /kerupuk seblak,Rp20.000,Kab. Bandung,1 terjual,5.0
315,Lemari Wanita,Seblak Jadoel Sambel Hedjo Samiraos | Seblak Instan Pedas Murah,Rp18.500,Jakarta Timur,4 terjual,5.0
316,kylafood,Kylafood Seblak Rempah Autentik isi (20 pcs),Rp294.120,Bandung,11 terjual,5.0
317,Rak Sebelah,Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,Rp51.900,Jakarta Pusat,50+ terjual,4.8
318,shyfa snack,SEBLAK RAFAEL SHYFA SNACK,Rp3.000,Kab. Sidoarjo,11 terjual,5.0
319,ArfaOnlineShop,baso Aci/boci/seblak CUANKI TAHU KERING KHAS GARUT 1 BAL,Rp2.020.000,Tangerang,3 terjual,5.0
320,CUANKI CULAMETAN,cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,Rp39.999,Kab. Garut,100+ terjual,4.8
321,Cemilan Malang,Sambal seblak instan/bumbu seblak basah,Rp1.500,Malang,28 terjual,5.0
322,gaiagarut,SIOMAY 75pcs Cuanki Toping Baso Aci Cuanki Seblak,Rp19.739,Kab. Garut,90+ terjual,4.9
323,Culametan Food,cuanki lidah isi 50 topping baso aci dan seblak,Rp11.999,Kab. Garut,6 terjual,5.0
324,kurniaisnain003,- (1 KG) Kerupuk Bumbu Kacang - SEBLAK BUMBU KACANG / SEBLAK CIKRUH #,Rp72.000,Bandung,40+ terjual,4.9
325,ToughIDD,SEBLAK MAMA ALIF,Rp15.000,Jakarta Selatan,2 terjual,5.0
326,Baso Aci Ayang,Kerupuk Seblak Pedas Gurih Kemasan 100 Gram,Rp5.499,Kab. Garut,100+ terjual,4.8
327,Asafa_Store,Makaroni mekar mentah / kerupuk makaroni mekar mentah bahan seblak 250gr,Rp8.200,Tangerang Selatan,27 terjual,4.8
328,Kriuk Kriuk Snack Kiloan New,Seblak Cikur Bunga 250 gram,Rp17.000,Bandung,40+ terjual,4.7
329,Anwarul ulum,Seblak kering 90 gram,Rp4.999,Kab. Tasikmalaya,6 terjual,5.0
330,kylafood,"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",Rp64.815,Bandung,500+ terjual,4.9
331,Muysproduct,seblak instan mie bakso om brewok,Rp16.000,Kab. Bogor,5 terjual,5.0
332,Pisang Goreng Madu Bu Nanik,Keripik Singkong Balado Christine Hakim,Rp36.000,Jakarta Barat,2rb+ terjual,4.9
333,Foodstocks,Baso Aci Bapper Tulang Rangu Original Asli Bandung 220gr,Rp25.800,Jakarta Selatan,1rb+ terjual,5.0
334,VEGGIEKU ATK STORE,Kerupuk Seblak Vegetarian Snack Vegan,Rp14.500,Jakarta Barat,17 terjual,5.0
335,CuankiCulametan,cuanki tahu panjang stik isi 50 toping seblak baso aci,Rp16.000,Kab. Garut,100+ terjual,5.0
336,Lakoca Official Shop,Lakoca Cuanki Instan Xtra Pedas - 3 Menit Siap Santap!,Rp16.618,Cimahi,500+ terjual,4.8
337,lahawelah,150pcs TAHU Cuanki Kering isi bahan Pelengkap Boci seblak dan cuanki,Rp39.480,Kab. Garut,50+ terjual,5.0
338,Endo Shop ID,"150 Pcs CUANKI SIOMAY Kering Topping Pelengkap Baso Aci, Seblak",Rp34.500,Kab. Garut,30+ terjual,5.0
339,Pisang Goreng Madu Bu Nanik,Keripik Kentang Pedas Tridara Snack,Rp16.500,Jakarta Barat,500+ terjual,4.9
340,gaiagarut,Cuanki Lidah JUMBO Isi 25pcs Toping Baso Aci Seblak,Rp11.279,Kab. Garut,100+ terjual,4.9
341,lovelybarbie,"Kerupuk jablay, kerupuk seblak 200 gram",Rp15.000,Tangerang Selatan,2 terjual,5.0
342,WAM_Shop.id,krupuk sari udang krupuk seblak oren 100gram,Rp5.500,Tangerang Selatan,6 terjual,5.0
343,Kletikan Juara,[PALING MURAH] KERUPUK SEBLAK PEDAS GURIH KRUPUK SEBLAK BANTET,Rp4.500,Semarang,4 terjual,5.0
344,YukBeli Toserba,Seblak Instan Carla 100gr jajanan enak khas bandung kualitas super ,Rp13.500,Jakarta Selatan,1 terjual,5.0
345,neriszastore,"MIX 4 BASO ACI, 4 SEBLAK, 4 CUANKI INSTAN ABAH ACENG",Rp85.000,Jakarta Selatan,30+ terjual,5.0
346,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 4.5kg BAWANG MERAH,Rp70.000,Kab. Bandung,4 terjual,5.0
347,Lidigeli,Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Combo 4pcs 65 gr,Rp50.000,Kab. Garut,10 terjual,5.0
348,Utama.Snack,Kerupuk Seblak Pedas 200gr - mawar,Rp13.500,Surabaya,750+ terjual,4.9
349,Gerai Snack Official Shop,Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,Rp19.700,Kab. Tangerang,100+ terjual,4.8
350,sinergi snack,SEBLAK KERUPUK SIKAYA,Rp9.900,Depok,100+ terjual,5.0
351,Boboko Snack Oficial,Seblak Cikruh Daun Jeruk Rian Sagit x Bobokosnack Special Editon,Rp20.000,Kab. Bandung Barat,1 terjual,5.0
352,Nion.Nion_Official,"Kerupuk Seblak Pedas 100 Gram, Kerupuk Seblak Daun Jeruk Gurih Renyah - Original Brebes",Rp22.688,Tangerang Selatan,28 terjual,4.3
353,Mega_Snack_095,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK JENGKOL HIJAU 200GR,Rp5.750,Cimahi,10 terjual,5.0
354,Justipsaza,Kerupuk Seblak Pedas Kerupuk Seblak daun jeruk Kerupuk Seblak 100gr,Rp7.900,Tangerang Selatan,2 terjual,5.0
355,Bintang Snack & Camilan,Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr - 250 gr,Rp18.500,Semarang,22 terjual,5.0
356,macaronimangade,SEBLAK MANGADE DAUN JERUK BOX BESAR,Rp10.000,Malang,100+ terjual,4.9
357,Rendang Kak Ris,krupuk seblak pedas 50gr,Rp8.000,Tangerang,6 terjual,5.0
358,joniludiansyah,- Seblak Rafael Asli Original | Seblak Coet Mamang Rafael #,Rp37.000,Bandung,3 terjual,5.0
359,Dapur_Sendiri,Kerupuk Seblak Kencur/Kacang,Rp6.000,Bandung,5 terjual,5.0
360,Oleh2 Maju Mulya Solo,Seblak Kering 500gr Kerupuk Seblak Pedas Kiloan Murah Seblak Bantet,Rp25.000,Kab. Sukoharjo,40+ terjual,5.0
361,Dua Gadih snack,Kerupuk Seblak Bantet / Seblak Kering isi 125 gram,Rp15.000,Semarang,250+ terjual,5.0
362,savanafoods,Kerupuk Mie Mentah Seblak,Rp5.200,Kab. Bandung,2 terjual,5.0
363,kylafood,Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,Rp105.705,Bandung,3rb+ terjual,4.9
364,kylafood,Kylafood Seblak Original Isi 10 pcs,Rp187.050,Bandung,25 terjual,4.7
365,Rav Jaya Display,Seblak Bantat Boboko Snack All Varian Khas Bandung - Pedas Level 7,Rp17.700,Kab. Tangerang,21 terjual,4.5
366,pelangi girls naget,KSN SEBLAK ULEG viral ala mamang rapael,Rp7.450,Jakarta Timur,100+ terjual,5.0
367,This Story Shop,Elod | Sebring Elod | keripik Elod | seblak kering,Rp29.500,Kab. Bandung,100+ terjual,4.9
368,kylafood,Kylafood Paket Batagor dan Toping Pilus,Rp35.235,Bandung,1rb+ terjual,4.9
369,TigoSadulur,paket jualan baso aci mix seblak 11pcs,Rp42.999,Kab. Tangerang,7 terjual,5.0
370,Al Dien Mart,Seblak Mercon Komplit Khas Tasik 150gr,Rp9.500,Tangerang,21 terjual,4.6
371,kylafood,Kylafood Batagor Kuah,Rp27.075,Bandung,10rb+ terjual,4.9
372,Pusat Cuankie & Cemilan Frozen,Cuankie Tahu Gepeng Topping Baso Aci Seblak,Rp22.499,Jakarta Timur,100+ terjual,4.9
373,Anasis,Makroni pedas / seblak makaroni / cikruh,Rp17.250,Bandung,100+ terjual,5.0
374,Distributor Cuanki dan Seblak,Cuanki tahu Gepeng Geprek isi 100 pcs toping seblak baso Aci baso,Rp35.000,Kab. Bekasi,50+ terjual,4.9
375,tokokenzo33,|UP| KERUPUK SEBLAK JENGKOL PEDAS DAUN JERUK 250GRAM,Rp30.000,Jakarta Barat,17 terjual,5.0
376,Nao_Qcrunch,seblak kerupuk kering pedas 100 gram,Rp5.000,Kab. Garut,50+ terjual,5.0
377,abdullahmarla,"(0_0) PAKET KHUSUS RESELLER SEBLAK SAJODO SNACK (""_"")",Rp29.000,Jakarta Timur,12 terjual,5.0
378,lahawelah,150pcs SIOMAY Cuanki Kering Pelengkap Boci seblak dan cuanki,Rp39.480,Kab. Garut,100+ terjual,5.0
379,CuankiCulametan,cuanki tahu geprek isi 50 murah toping seblak baso aci,Rp19.000,Kab. Garut,70+ terjual,4.8
380,SNACK JAKARTA 411,Kerupuk Seblak,Rp8.000,Jakarta Barat,500+ terjual,5.0
381,CuankiCulametan,Cuanki tahu geprek kering isi 100 toping seblak baso aci,Rp37.999,Kab. Garut,22 terjual,5.0
382,cemilancollection,kerupuk seblak mentah taro 250 gram,Rp7.000,Kab. Garut,100+ terjual,5.0
383,ishopper online,Seblak kerupuk viral tasikmalaya,Rp6.300,Tasikmalaya,1 terjual,5.0
384,Gerai Snack Official Shop,Basreng Pinggsnack,Rp16.700,Kab. Tangerang,500+ terjual,4.8
385,Pusat Cuankie & Cemilan Frozen,CUANKIE TAHU STICK / TAHU KERITING ISI 50 TOPPING BASO ACI / SEBLAK,Rp18.000,Jakarta Timur,20 terjual,4.5
386,ngenyooh_snack,seblak kerupuk bawang 100gram,Rp7.000,Kab. Garut,11 terjual,5.0
387,dinayastore,kerupuk seblak Rafael mentah 250gr,Rp9.000,Kab. Bandung,1 terjual,5.0
388,Toko Yazid Cita Rasa,seblak kerupuk bintang pedas 100 gram,Rp6.000,Bandung,4 terjual,4.9
389,CIPTA-RASA.,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg KEONG WARNA,Rp6.250,Bandung,20 terjual,5.0
390,gaiagarut,Cuanki Lidah JUMBO Isi 10pcs Toping Baso Aci Seblak,Rp5.459,Kab. Garut,30+ terjual,4.9
391,GERAI PAKDE,SEBLAK KENCUR 1/2KG,Rp25.000,Surabaya,13 terjual,5.0
392,jsr rempah indonesia,SEBLAK KOMPLIT EXTRA PEDAS DENGAN BUMBU SPECIAL,Rp12.500,Jakarta Selatan,29 terjual,4.7
393,S esa fash and acc,Kerupuk Seblak Kering Bantat Cikur Daun Jaruk /Sebring 60 gram,Rp4.500,Bandung,19 terjual,5.0
394,Sajodo Snack & Food,SEBLAK INSTAN SAJODO SNACK,Rp22.500,Tasikmalaya,100+ terjual,4.8
395,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
396,alien toko,Sukro Cikur BUNGKUS isi 10pcs untuk Toping Baso Aci Cuanki Seblak,Rp7.000,Kab. Garut,100+ terjual,4.7
397,Foodstocks,Geli Chips - Seblak Kering ( Sebring ) Kerupuk Mawar Pedas Daun Jeruk 50 gr,Rp10.200,Jakarta Selatan,5 terjual,5.0
398,Sajodo Snack & Food,"[ Buy 5 Get 5 ] Special Bedug Package (Baso Aci, Seblak, Keju Aroma...",Rp150.000,Tasikmalaya,7 terjual,4.8
399,cemilan Bandungstore,seblak ala mamang Rafael pedas mantull,Rp6.000,Cimahi,23 terjual,5.0
400,Oncom Jaya Bdg,Kerupuk Seblak Warna Warni,Rp17.000,Bandung,80+ terjual,4.8
401,Kylafood Jakarta,Seblak Rempah Autentik isi 5 pcs,Rp68.000,Jakarta Selatan,90+ terjual,4.9
402,King Fresh Mart,Seblak Putri 80 gr,Rp12.500,Jakarta Barat,18 terjual,5.0
403,cegar_id,Sebring 500g seblak kerupuk/seblak kering seblak pedas kerupuk bantat,Rp29.999,Banjarbaru,30+ terjual,4.8
404,YasnackID,1BALL/5KG - PAKET USAHA/RESELLER - KERUPUK SEBLAK PEDAS GURIH- YASNACK  ,Rp250.000,Bandung,30+ terjual,5.0
405,Suka_ngemil21,keripik seblak pedas daun jeruk/kerupuk jablay/kerupuk warna warni,Rp5.500,Jakarta Timur,1 terjual,5.0
406,NeoStoreYogyakarta,snack kerupuk seblak pedas - kerupuk seblak pedas - kerupuk pedas,Rp11.000,Yogyakarta,60+ terjual,5.0
407,NYEMIL WOII,Kerupuk Seblak Bantet 250 gr,Rp13.000,Jakarta Timur,28 terjual,4.9
408,basrengsultann,kerupuk jablay/seblak pedas daun jeruk 100 gram,Rp7.450,Kab. Tangerang,4 terjual,5.0
409,Lidigeli,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp25.000,Kab. Garut,100+ terjual,4.9
410,The Little Snacks,Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,Rp9.900,Tangerang Selatan,1rb+ terjual,4.9
411,Sajodo Snack & Food,"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",Rp43.000,Tasikmalaya,7 terjual,5.0
412,Salira Snack,(250g) SNACK MAKANAN RINGAN KERUPUK SEBLAK CK DAUN JERUK,Rp7.987,Bogor,4 terjual,5.0
413,FoodieFiestae,Krupuk Seblak Bentuk Ikan isi 10 bunkus,Rp5.000,Surabaya,6 terjual,5.0
414,CUANKI BAKSO ACI DPS,SEBLAK INSTAN BANDUNG | HALAL,Rp16.000,Denpasar,250+ terjual,4.9
415,CUANKI CULAMETAN,cuanki tahu panjang atau stik isi 50 pcs toping seblak baso aci,Rp12.999,Kab. Garut,100+ terjual,4.8
416,greencan,Cuanki tahu atau batagor kering kiloan murah isi 150 seblak baso aci,Rp51.000,Jakarta Barat,30+ terjual,5.0
417,CuankiCulametan,Cuanki lidah murah kiloan isi 150 toping seblak baso aci,Rp33.999,Kab. Garut,100+ terjual,4.9
418,Suka Cemilan Cemilun,Kerupuk Seblak / Kerupuk Jablay Bantet,Rp18.600,Semarang,17 terjual,5.0
419,binbond store007,SEBLAK INSTAN / TERLARIS NO. 1 GOYANG LIDAH NGABRETT,Rp3.000,Kab. Bandung,23 terjual,5.0
420,lahawelah,Cuanki Lidah JUMBO PREMIUM Isi 100pcs Toping Baso Aci Seblak,Rp39.200,Kab. Garut,100+ terjual,5.0
421,Cemilan-Ce,SEBLAK INSTAN BASO ACI MIE ENAK,Rp5.500,Kab. Sidoarjo,50+ terjual,5.0
422,BOEDJANG STORE MALANG,500 GRAM KERUPUK SEBLAK KERING PEDAS KILOAN TERLARIS FREE PACK KARDUS,Rp23.000,Malang,16 terjual,5.0
423,dapurMerri,kerupuk seblak kering pedas,Rp4.000,Bandar Lampung,3 terjual,4.8
424,seblakblakan,PAKET HEMAT 3 PACK SEBLAK BLAKAN | Seblak & Baso Aci Instan,Rp51.000,Kab. Sukabumi,8 terjual,5.0
425,Keva store,Comring Seblak 200gr | Pedas | Makanan Ringan | Cemilan | Snack Renyah - Seblak Pedas,Rp19.000,Depok,100+ terjual,5.0
426,Foodstocks,Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,Rp18.900,Jakarta Selatan,60+ terjual,4.9
427,kira3arut,cuanki lidah asli garut isi 150 pcs,Rp32.500,Kab. Garut,10rb+ terjual,4.9
428,RafToshi Mart,seblak cobek,Rp6.200,Tangerang Selatan,30+ terjual,5.0
429,FoodieFiestae,KERUPUK SEBLAK SEBRING RAFAEL PEDAS DAUN JERUK 100gram,Rp6.000,Surabaya,9 terjual,5.0
430,Rak Sebelah,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300,Jakarta Pusat,100+ terjual,4.9
431,Rabbani Snack.,SEBLAK BUNGA 250gr,Rp19.000,Bandung,3 terjual,5.0
432,BuyungBumbu,kerupuk seblak mentah orange 250gr,Rp11.500,Jakarta Pusat,60+ terjual,5.0
433,CUANKI CULAMETAN,siomay mini kering 250 gram toping seblak baso aci,Rp7.999,Kab. Garut,250+ terjual,4.9
434,PT MANDIRI BERKAH,Kerupuk bunga mawar putih viral seblak aa rafael 1 bal/ball 5 kg,Rp177.000,Jakarta Pusat,7 terjual,5.0
435,gaiagarut,"LIDAH 75pcs cuanki Toping Baso Aci, Seblak khas Garut",Rp19.739,Kab. Garut,100+ terjual,4.9
436,Cemilan Malang,Seblak Makroni Bumbu Basah,Rp6.000,Malang,8 terjual,5.0
437,temencemalcemil,KRURPUK SEBLAK / KRUPUK BAWANG PEDAS JUMBO 150 GRAM,Rp11.000,Jakarta Barat,16 terjual,4.8
438,Sayur Sembako,Kerupuk Seblak Orange (250gr),Rp12.500,Jakarta Barat,7 terjual,5.0
439,Rabiko,Seblak Kerupuk Pedas Kering 250 Gram Kiloan Langsung Hap Bukan 1kg,Rp12.000,Kab. Kediri,1 terjual,5.0
440,dapurmamatih,Seblak ceker mercon,Rp60.000,Bandung,10 terjual,5.0
441,kylafood,Kylafood Seblak Mie Baso,Rp26.125,Bandung,4rb+ terjual,4.9
442,CUANKI CULAMETAN,cuanki tahu gepeng isi 50 pcs toping seblak baso aci,Rp19.500,Kab. Garut,100+ terjual,4.9
443,kylafood,Seblak Tulang Rawan k.y.l Kylafood (Spesial Panen Telur),Rp24.225,Bandung,50+ terjual,5.0
